id,name,type,rarity,brand,basePower,baseAccuracy,baseLieResistance,baseLoft,maxDurability,baseDistance,ballSpeedMps,launchAngleDeg,spinRateRpm,expectedCarryYd,portraitSprite,portraitFull,controlSprite,startLevel,maxLevel,info,info_ja
club_awedge_eaglez_supreme,A.Wedge EAGLEZ,A.Wedge,Supreme,EAGLEZ,51,59,78,75,120,137,49.1,24.0,9672,151,S_Menu_Wedge_EAGLEZ,Wedge-Eaglez,S_Controls_Wedge_EAGLEZ,200,239,EAGLEZ built this flagship approach wedge for one thing: outrageous distance. Aim is your problem.,EAGLEZの最高峰のアプローチウェッジ。目的はただ一つ、規格外の飛距離。方向は自己責任。
club_swedge_eaglez_common,S.Wedge EAGLEZ,S.Wedge,Common,EAGLEZ,18,22,38,36,60,95,39.3,26.5,9212,104,S_Menu_Wedge_EAGLEZ,Wedge-Eaglez,S_Controls_Wedge_EAGLEZ,10,39,EAGLEZ built this entry-level sand wedge for one thing: outrageous distance. Aim is your problem.,EAGLEZの入門用サンドウェッジ。目的はただ一つ、規格外の飛距離。方向は自己責任。
club_swedge_eaglez_uncommon,S.Wedge EAGLEZ,S.Wedge,Uncommon,EAGLEZ,22,28,49,46,70,100,40.6,26.5,9408,110,S_Menu_Wedge_EAGLEZ,Wedge-Eaglez,S_Controls_Wedge_EAGLEZ,40,79,EAGLEZ built this step-up sand wedge for one thing: outrageous distance. Aim is your problem.,EAGLEZの上位モデルのサンドウェッジ。目的はただ一つ、規格外の飛距離。方向は自己責任。
club_swedge_eaglez_rare,S.Wedge EAGLEZ,S.Wedge,Rare,EAGLEZ,27,33,60,56,80,106,42.0,26.5,9604,117,S_Menu_Wedge_EAGLEZ,Wedge-Eaglez,S_Controls_Wedge_EAGLEZ,80,119,EAGLEZ built this refined sand wedge for one thing: outrageous distance. Aim is your problem.,EAGLEZの洗練されたサンドウェッジ。目的はただ一つ、規格外の飛距離。方向は自己責任。
club_swedge_eaglez_mythic,S.Wedge EAGLEZ,S.Wedge,Mythic,EAGLEZ,32,39,70,66,90,112,43.3,26.5,9800,123,S_Menu_Wedge_EAGLEZ,Wedge-Eaglez,S_Controls_Wedge_EAGLEZ,120,159,EAGLEZ built this elite sand wedge for one thing: outrageous distance. Aim is your problem.,EAGLEZのエリート級のサンドウェッジ。目的はただ一つ、規格外の飛距離。方向は自己責任。
club_swedge_eaglez_legendary,S.Wedge EAGLEZ,S.Wedge,Legendary,EAGLEZ,37,45,80,76,100,117,44.5,26.5,9996,129,S_Menu_Wedge_EAGLEZ,Wedge-Eaglez,S_Controls_Wedge_EAGLEZ,160,199,EAGLEZ built this masterwork sand wedge for one thing: outrageous distance. Aim is your problem.,EAGLEZの傑作級のサンドウェッジ。目的はただ一つ、規格外の飛距離。方向は自己責任。
club_swedge_eaglez_supreme,S.Wedge EAGLEZ,S.Wedge,Supreme,EAGLEZ,41,51,91,86,120,124,46.0,26.5,10192,136,S_Menu_Wedge_EAGLEZ,Wedge-Eaglez,S_Controls_Wedge_EAGLEZ,200,239,EAGLEZ built this flagship sand wedge for one thing: outrageous distance. Aim is your problem.,EAGLEZの最高峰のサンドウェッジ。目的はただ一つ、規格外の飛距離。方向は自己責任。
club_putter_eaglez_common,Putter EAGLEZ,Putter,Common,EAGLEZ,21,36,18,3,60,30,5.0,5.0,0,30,S_Menu_Putter_EAGLEZ,Putter-Eaglez,S_Controls_Putter_EAGLEZ,10,39,EAGLEZ built this entry-level putter for one thing: outrageous distance. Aim is your problem.,EAGLEZの入門用パター。目的はただ一つ、規格外の飛距離。方向は自己責任。
club_putter_eaglez_uncommon,Putter EAGLEZ,Putter,Uncommon,EAGLEZ,26,46,22,4,70,30,5.0,5.0,0,30,S_Menu_Putter_EAGLEZ,Putter-Eaglez,S_Controls_Putter_EAGLEZ,40,79,EAGLEZ built this step-up putter for one thing: outrageous distance. Aim is your problem.,EAGLEZの上位モデルのパター。目的はただ一つ、規格外の飛距離。方向は自己責任。
club_putter_eaglez_rare,Putter EAGLEZ,Putter,Rare,EAGLEZ,32,56,27,4,80,30,5.0,5.0,0,30,S_Menu_Putter_EAGLEZ,Putter-Eaglez,S_Controls_Putter_EAGLEZ,80,119,EAGLEZ built this refined putter for one thing: outrageous distance. Aim is your problem.,EAGLEZの洗練されたパター。目的はただ一つ、規格外の飛距離。方向は自己責任。
club_putter_eaglez_mythic,Putter EAGLEZ,Putter,Mythic,EAGLEZ,38,66,32,5,90,30,5.0,5.0,0,30,S_Menu_Putter_EAGLEZ,Putter-Eaglez,S_Controls_Putter_EAGLEZ,120,159,EAGLEZ built this elite putter for one thing: outrageous distance. Aim is your problem.,EAGLEZのエリート級のパター。目的はただ一つ、規格外の飛距離。方向は自己責任。
club_putter_eaglez_legendary,Putter EAGLEZ,Putter,Legendary,EAGLEZ,43,75,37,6,100,30,5.0,5.0,0,30,S_Menu_Putter_EAGLEZ,Putter-Eaglez,S_Controls_Putter_EAGLEZ,160,199,EAGLEZ built this masterwork putter for one thing: outrageous distance. Aim is your problem.,EAGLEZの傑作級のパター。目的はただ一つ、規格外の飛距離。方向は自己責任。
club_putter_eaglez_supreme,Putter EAGLEZ,Putter,Supreme,EAGLEZ,49,85,42,6,120,30,5.0,5.0,0,30,S_Menu_Putter_EAGLEZ,Putter-Eaglez,S_Controls_Putter_EAGLEZ,200,239,EAGLEZ built this flagship putter for one thing: outrageous distance. Aim is your problem.,EAGLEZの最高峰のパター。目的はただ一つ、規格外の飛距離。方向は自己責任。
